error_name,SurveyorID,Submission.Id,Orig.collection.date,Quad.Sub.Quad,StemTag,Species,QX,QY,DBH,Status.census.2,HOM,Status.2021,Crown.position,intact,living,Lean.angle.if.greater.than.15.degrees,FAD,Wounded.main.stem,Canker..swelling..deformity,Rotting.trunk,Lianas,Dead.with.resprout,Notes.2021
Dead_but_now_alive_no_note,DJ,55a6ec86-28c1-4bae-a631-9b64144a368f,7/16/2021,1214-11,120903,prunse,9.3207,4.92569,NA,D,1.3,A,3,100,100,NA,NA,NA,NA,NA,NA,NA,NA
Dead_but_now_alive_no_note,DJ,4957c574-ea10-4129-8eaf-8be9059fcb14,7/16/2021,1223-21,121616,querru,2.3813,1.84622,NA,D,1.3,A,3,100,100,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
quadrat,StemTag,,,,,,,,,,,,,,,,,,,,,,
813,81079,,,,,,,,,,,,,,,,,,,,,,
825,81951,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
